,Website
21,https://www.zaubacorp.com/company/J-L-M-FABRIC-PRIVATE-LIMITED/U74900DL2011PTC229057
22,https://www.zaubacorp.com/company/AMITY-DRUGS-PRIVATE-LIMITED/U24239DL2002PTC118037
23,https://www.zaubacorp.com/company/DFE-PHARMA-INDIA-PRIVATE-LIMITED/U24299TN2019FTC129309
24,https://www.zaubacorp.com/company/FLYPUR-TECHLABS-PRIVATE-LIMITED/U72900DL2018PTC331292
25,https://www.zaubacorp.com/company/TECHNOCRAFT-ENERGY-PRIVATE-LIMITED/U21029RJ2010PTC032688
26,https://www.zaubacorp.com/company/AASHNI-INFOWEB-PRIVATE-LIMITED/U72300UP2015PTC068065
27,https://www.zaubacorp.com/company/COUTURE-CREATIONS-PRIVATE-LIMITED/U18101DL2002PTC114301
28,https://www.zaubacorp.com/company/PARSURAM-TRADING-LIMITED/U51101PB2005PLC029181
29,https://www.zaubacorp.com/company/RAVALI-SPINNERS-PRIVATE-LIMITED/U18100AP2005PTC046237
30,https://www.zaubacorp.com/company/GONDAL-THEATRES-PVT-LTD/U99999MH1972PTC015714
31,https://www.zaubacorp.com/company/HANSA-PHARMACUTICALS-AND-MARKETING-PRIVATE-LIMITED/U51397MH2004PTC145453
32,https://www.zaubacorp.com/company/ARONA-HOSPITALITY-PRIVATE-LIMITED/U55209PN2020PTC195647
33,https://www.zaubacorp.com/company/SHREYANSH-FINTEX-PRIVATE-LIMITED/U51909WB1997PTC082525
34,https://www.zaubacorp.com/company/MONTEGO-FINVESTRADE-INDIA-PRIVATE-LIMITED/U65929MH1995PTC091038
35,https://www.zaubacorp.com/company/SHYAM-SHELTERS-PRIVATE-LIMITED/U45200MH2007PTC174933
36,https://www.zaubacorp.com/company/SINHMARRK-AND-SONS-PRIVATE-LIMITED/U51909HR2018PTC075900
37,https://www.zaubacorp.com/company/NEW-LIFE-PROCON-LIMITED/U45201GJ2011PLC067373
38,https://www.zaubacorp.com/company/ACHIEVE-AUTOMATION-INDIA-PRIVATE-LIMITED/U29199TZ2006PTC012785
39,https://www.zaubacorp.com/company/AVANTENOW-GLOBAL-SERVICES-PRIVATE-LIMITED/U72900MH2021PTC353299
40,https://www.zaubacorp.com/company/GARG-POLY-CHEM-PRIVATE-LIMITED/U74899DL1994PTC057136
41,https://www.zaubacorp.com/company/RANGA-STEELS-PRIVATE-LIMITED/U02710KA2005PTC035557
42,https://www.zaubacorp.com/company/TUNNY-CREDIT-FINVEST-PVT-LTD-/U65993WB1991PTC052652
43,https://www.zaubacorp.com/company/SCM-NETWORK-MARKETING-PRIVATE-LIMITED/U74120UP2011PTC044117
44,https://www.zaubacorp.com/company/MONAD-BOARDS-PRIVATE-LIMITED/U21099UP2021PTC152204
45,https://www.zaubacorp.com/company/KRISH-INTECH-PRIVATE-LIMITED/U74140GJ1993PTC019304
46,https://www.zaubacorp.com/company/CODERS-DREAM-ALWAYS-OPC-PRIVATE-LIMITED/U74999TN2018OPC125490
47,https://www.zaubacorp.com/company/DIVYA-GROWTH-CONCEPTS-MARKETING-PRIVATE-LIMITED/U52190RJ2009PTC029238
48,https://www.zaubacorp.com/company/RAJGRAHI-BUILDCON-PRIVATE-LIMITED/U45200MP2011PTC025848
49,https://www.zaubacorp.com/company/MONOZUKURI-ENGINEERING-PRIVATE-LIMITED/U74999KA2019PTC130291
50,https://www.zaubacorp.com/company/EMERIN-EDUCATION-PRIVATE-LIMITED/U74900CH2011PTC033159
51,https://www.zaubacorp.com/company/SUPPORT-TECHNOLOGIES-PRIVATE-LIMITED/U72200DL2005PTC144094
52,https://www.zaubacorp.com/company/JP-TEX-PRIVATE-LIMITED/U17299TZ2020PTC033874
53,https://www.zaubacorp.com/company/PALKIA-ADVANCE-MARKETING-PRIVATE-LIMITED/U18209WB2019PTC232344
54,https://www.zaubacorp.com/company/UNIMATRIX-ASIA-INDIA-PRIVATE-LIMITED/U51909DL2004PTC127762
55,https://www.zaubacorp.com/company/SMAC-X-INNO-LABS-PRIVATE-LIMITED/U72900TG2020PTC145411
56,https://www.zaubacorp.com/company/DR-GSK-S-SOCIAL-LAB-PRIVATE-LIMITED/U80902KA2020PTC140938
57,https://www.zaubacorp.com/company/SKYLARK-VINIMAY-PRIVATE-LIMITED/U51909WB2007PTC119772
58,https://www.zaubacorp.com/company/GRAND-REALTECH-LIMITED/U70102DL2013PLC346127
59,https://www.zaubacorp.com/company/FAMOUS-LIGHT-O-SOUND-PRIVATE-LIMITED/U74900MH2007PTC170803
60,https://www.zaubacorp.com/company/TAJIR-TRAVELS-PRIVATE-LIMITED/U63040MH1998PTC115570
61,https://www.zaubacorp.com/company/GOODWILL-INDIAN-SECURITY-SERVICES-PRIVAT-E-LIMITED/U74920RJ1997PTC013879
62,https://www.zaubacorp.com/company/PLAST-O-PLAST-PRIVATE-LIMITED/U25200MH1994PTC083687
63,https://www.zaubacorp.com/company/ARAMBH-INFRASTRUCTURE-PRIVATE-LIMITED/U70102MH2010PTC209849
64,https://www.zaubacorp.com/company/BRIHAT-CONSTRUCTION-AND-SUPPLIERS-PRIVATE-LIMITED/U45400BR2018PTC037304
65,https://www.zaubacorp.com/company/SAMMUNNATHA-CONSULTANCY-PRIVATE-LIMITED/U74999KL2018PTC055741
66,https://www.zaubacorp.com/company/SIGHTSEER-INNOVATIONS-PRIVATE-LIMITED/U72900KA2017PTC101509
67,https://www.zaubacorp.com/company/NIRZARI-ESTATE-PRIVATE-LIMITED/U70200GJ2007PTC050766
68,https://www.zaubacorp.com/company/QONEVO-TECHNOLOGIES-PRIVATE-LIMITED/U72200UP2021PTC156318
69,https://www.zaubacorp.com/company/S-ANAND-FIN-LEA-PRIVATE-LIMITED/U74999UP2016PTC088102
70,https://www.zaubacorp.com/company/SAHAJ-INFRASPACE-PRIVATE-LIMITED/U45203GJ2014PTC078295
71,https://www.zaubacorp.com/company/MAKE-IN-INDIA-ADVISORY-SERVICES-PRIVATE-LIMITED/U80211PN1995PTC084833
72,https://www.zaubacorp.com/company/HINDSUN-LBL-ENGINEERING-AND-INFRATECH-PRIVATE-LIMITED/U45400HR2015PTC057596
73,https://www.zaubacorp.com/company/NURAM-SOFTWARE-SOLUTIONS-PRIVATE-LIMITED/U72200MH2004PTC145540
74,https://www.zaubacorp.com/company/KHAJURIA-ESTATES-PRIVATE-LIMITED/U70109JK1986PTC000915
75,https://www.zaubacorp.com/company/INSTANT-PROCESS-EASY-CREDIT-FINANCIAL-PLANNER-LLP/AAK-5712
76,https://www.zaubacorp.com/company/TUFFBRACE-FASTENERS-PRIVATE-LIMITED/U29300GJ2016PTC093756
77,https://www.zaubacorp.com/company/CORONATION-POLYMERS-PRIVATE-LIMITED/U25200MH1995PTC095635
78,https://www.zaubacorp.com/company/BEUREX-HEALTHCARE-INDIA-PRIVATE-LIMITED/U85191UP2012PTC050269
79,https://www.zaubacorp.com/company/BR-JINDAL-PET-INDUSTRIES-PRIVATE-LIMITED/U25209HP2021PTC008608
80,https://www.zaubacorp.com/company/DIXXID-ENTERPRISES-PRIVATE-LIMITED/U70109DL2019PTC358535
81,https://www.zaubacorp.com/company/ARKSTONE-INFRA-PRIVATE-LIMITED/U45201KA2010PTC053876
82,https://www.zaubacorp.com/company/JAAHARVIR-TECHNOLOGIES-PRIVATE-LIMITED/U72900HP2011PTC031602
83,https://www.zaubacorp.com/company/MORNING-STAR-CONSULTANCIES-SERVICES-PRIVATE-LIMITED/U74900UP2013PTC061163
84,https://www.zaubacorp.com/company/MEDIVISION-SCAN-AND-DIAGNOSTIC-RESEARCH-CENTRE-PVT-LTD/U85195KL1990PTC005887
85,https://www.zaubacorp.com/company/PANCHMAHAL-GASES-PVT-LTD/U24111GJ1993PTC019563
86,https://www.zaubacorp.com/company/CHLORIS-FLORA-PRIVATE-LIMITED/U01122DL2012PTC246678
87,https://www.zaubacorp.com/company/DAVINA-SOLUTIONS-PRIVATE-LIMITED/U72900OR2019PTC032053
88,https://www.zaubacorp.com/company/ARVIN-HOTELS-AND-MALLS-PRIVATE-LIMITED/U55100MH2007PTC175588
89,https://www.zaubacorp.com/company/RMG-PROJECTS-PRIVATE-LIMITED/U70109DL2013PTC260474
90,https://www.zaubacorp.com/company/THE-INDO-INTERNATIONAL-GENERAL-INSURANCE-COMPANY-LIMITED/U99999MH1937PTC002680
91,https://www.zaubacorp.com/company/CAVALLO-LEATHER-SOFT-FURNISHING-PRIVATE-LIMITED/U19110DL2011PTC221287
92,https://www.zaubacorp.com/company/SHRI-PARASRAM-HOLDINGS-GURGAON-PRIVATE-LIMITED/U67120HR2003PTC035157
93,https://www.zaubacorp.com/company/NJV-TRADING-PRIVATE-LIMITED/U51909RJ2017PTC058975
94,https://www.zaubacorp.com/company/SHREE-MNM-NEW-MART-PRIVATE-LIMITED/U74999DL2010PTC202676
95,https://www.zaubacorp.com/company/WESTON-INDUSTRIES-PRIVATE-LIMITED/U74999PB2019PTC049629
96,https://www.zaubacorp.com/company/SUREWAY-MARKETING-LIMITED/U52599JH2012PLC000545
97,https://www.zaubacorp.com/company/ANUJ-EQUISEARCH-PRIVATE-LIMITED/U67120MH1995PTC088180
98,https://www.zaubacorp.com/company/RED-CHERRY-GLOBAL-PRIVATE-LIMITED/U74999PN2017PTC169388
99,https://www.zaubacorp.com/company/AIRAVATAM-GUEST-HOUSE-PRIVATE-LIMITED/U55102KA2005PTC037775
100,https://www.zaubacorp.com/company/DO-FUTURE-MEDIA-ENTERTAINMENT-PRIVATE-LIMITED/U22300DL2007PTC162736
101,https://www.zaubacorp.com/company/STREET-WORKOUT-AND-CALISTHENICS-FOUNDATION/U85190PN2017NPL172408
102,https://www.zaubacorp.com/company/VISHWAM-FUTURISTICS-PRIVATE-LIMITED/U64204UP2020PTC132875
103,https://www.zaubacorp.com/company/MOHINI-CONSTRUCTIONS-PVT-LTD-/U45201GJ1991PTC016376
104,https://www.zaubacorp.com/company/AVAS-PROPERTIES-PRIVATE-LIMITED/U70109MH2021PTC360202
105,https://www.zaubacorp.com/company/CAPAQUA-FILMS-INDIA-PRIVATE-LIMITED/U74999MH2018PTC315996
106,https://www.zaubacorp.com/company/VITALO-CERAMIC-PRIVATE-LIMITED/U74999WB2017PTC223139
107,https://www.zaubacorp.com/company/VISHAL-FASHIONS-PRIVATE-LIMITED/U18100GJ1997PTC033216
108,https://www.zaubacorp.com/company/TEENSAKTI-MERCHANDISE-PRIVATE-LIMITED/U51909WB2011PTC158971
109,https://www.zaubacorp.com/company/GABHEERAH-VINCOM-PRIVATE-LIMITED/U52190WB2010PTC147886
110,https://www.zaubacorp.com/company/M-S-INFRAENGINEERS-PRIVATE-LIMITED/U45201OR2011PTC013824
111,https://www.zaubacorp.com/company/H-S-HITECH-MEDICAL-DEVICES-PRIVATE-LIMIT-ED/U33119PB1997PTC019387
112,https://www.zaubacorp.com/company/ARON-MOTORS-PRIVATE-LIMITED/U34300KA2020PTC135909
113,https://www.zaubacorp.com/company/YASHWANT-HOSPITAL-VITA-PRIVATE-LIMITED/U85110PN2004PTC018745
114,https://www.zaubacorp.com/company/LASSANI-POLYMERS-PRIVATE-LIMITED/U74899DL1994PTC059796
115,https://www.zaubacorp.com/company/G-C-SALES-PVT-LTD/U51109HR1989PTC030575
116,https://www.zaubacorp.com/company/COMWAVE-MEDIA-OPC-PRIVATE-LIMITED/U74999PB2018OPC048590
117,https://www.zaubacorp.com/company/GRESSESS-SERVICES-PRIVATE-LIMITED/U45500PN2019PTC181541
118,https://www.zaubacorp.com/company/TS-JEANS-CARE-INDIA-PRIVATE-LIMITED/U51909KA2009PTC050150
119,https://www.zaubacorp.com/company/ASHOK-SARVAIYA-AGRO-PRIVATE-LIMITED/U15131GJ1987PTC009410
120,https://www.zaubacorp.com/company/GAUSYAM-EAECTIOMS-PRIVATE-LIMITED/U40105DL2012PTC240030
121,https://www.zaubacorp.com/company/MRG-IMPEX-PRIVATE-LIMITED/U74120DL2006PTC156085
122,https://www.zaubacorp.com/company/ADITYA-COUTURE-PRIVATE-LIMITED/U18109DL2010PTC200876
123,https://www.zaubacorp.com/company/SHANDERS-PROPERTIES-PRIVATE-LIMITED/U70101KA2010PTC053045
124,https://www.zaubacorp.com/company/SARTHAK-ADVERTISING-PRIVATE-LIMITED/U74300DL2000PTC104168
125,https://www.zaubacorp.com/company/SPA-NANOTECH-PRIVATE-LIMITED/U36900WB2011PTC163840
126,https://www.zaubacorp.com/company/HRUDAI-AGRI-PRIVATE-LIMITED/U01403AP2009PTC066042
127,https://www.zaubacorp.com/company/AKEN-EYE-MANAGEMENT-SOLUTION-PRIVATE-LIMITED/U74999UP2016PTC088624
128,https://www.zaubacorp.com/company/RUDRASIVA-FOUNDATION/U85100GJ2019NPL107284
129,https://www.zaubacorp.com/company/PANCHMUKHI-SKYSCRAPER-PRIVATE-LIMITED/U70102WB2012PTC189147
130,https://www.zaubacorp.com/company/DEEP-POCKET-CONSULTANTS-PRIVATE-LIMITED/U74999DL2021PTC376670
131,https://www.zaubacorp.com/company/SHREE-JADEYA-SHANKARLING-BANK-LIMITED/U99999MH1948PLC006338
132,https://www.zaubacorp.com/company/D-K-P-ENCLAVE-PRIVATE-LIMITED/U70101WB2005PTC104133
133,https://www.zaubacorp.com/company/NISHIGANDHA-CORPORATE-PRIVATE-LIMITED/U74999MH2021PTC363218
134,https://www.zaubacorp.com/company/INTERCON-FISHERIES-PVT-LTD-/U99999MH1993PTC071294
135,https://www.zaubacorp.com/company/VARUN-FININV-PRIVATE-LIMITED/U67120MH1997PTC106348
136,https://www.zaubacorp.com/company/KIEGA-EXIMS-PRIVATE-LIMITED/U74999AS2018PTC018601
137,https://www.zaubacorp.com/company/CSC-PRATEEK-INDIA-FARMER-PRODUCER-COMPANY-LIMITED/U01100UP2021PTC148737
138,https://www.zaubacorp.com/company/NOBLE-NEWERA-MILESTONE-TRADING-AND-INVESTMENT-PRIVATE-LIMITED/U51900MH2000PTC128867
139,https://www.zaubacorp.com/company/TRAININGSPRAGYAN-PRIVATE-LIMITED/U72200GA2021PTC014846
140,https://www.zaubacorp.com/company/RANI-SATI-PLYWOOD-PRIVATE-LIMITED/U20211UP1998PTC023957
141,https://www.zaubacorp.com/company/SANKETH-STRUCTURALS-PRIVATE-LIMITED/U00339KA1988PTC008897
142,https://www.zaubacorp.com/company/AMIR-BUILDCON-PRIVATE-LIMITED/U45400DL2008PTC184161
143,https://www.zaubacorp.com/company/PPS-PROPERTIES-INDIA-PRIVATE-LIMITED/U70101DL2005PTC135164
144,https://www.zaubacorp.com/company/REFARMED-CHEMICALS-INDIA-PRIVATE-LIMITED/U24230DL2005PTC169317
145,https://www.zaubacorp.com/company/IDG-BATH-FITTINGS-PRIVATE-LIMITED/U26933DL2007PTC171548
146,https://www.zaubacorp.com/company/DYNAMICARK-SOFTWARE-SOLUTIONS-PRIVATE-LI-MITED/U72900KA2006PTC040315
147,https://www.zaubacorp.com/company/SHRI-BALAJI-AGRO-VATIKA-INDIA-LIMITED/U02001UP1997PLC021858
148,https://www.zaubacorp.com/company/SMART-SHOP-108-PRIVATE-LIMITED/U52100DL2007PTC164521
149,https://www.zaubacorp.com/company/MAA-AMLESHWARI-CONSTRUCTION-PRIVATE-LIMITED/U45201JH2014PTC002234
150,https://www.zaubacorp.com/company/TIMES-BUILDCON-LIMITED/U74899DL1998PLC093533
151,https://www.zaubacorp.com/company/GREGO-HOSPITALITY-TRAVELS-PRIVATE-LIMITED/U74999DL2016PTC301122
152,https://www.zaubacorp.com/company/AL-MEHRAJ-SERVICES-PRIVATE-LIMITED/U51909TG2011PTC073127
153,https://www.zaubacorp.com/company/SAPNA-INFRACOLONISER-PRIVATE-LIMITED/U70102DL1997PTC091248
154,https://www.zaubacorp.com/company/TRAININGINBOX-EDTECH-PRIVATE-LIMITED/U80900MH2021PTC373512
155,https://www.zaubacorp.com/company/NANGALIA-FOOD-INDUSTRIES-PRIVATE-LIMITED/U15412UP1993PTC015995
156,https://www.zaubacorp.com/company/NAYAN-PROPERTIES-PRIVATE-LIMITED/U45200MH1995PTC094276
157,https://www.zaubacorp.com/company/JOHAR-TOWERS-PRIVATE-LIMITED/U74210DL1989PTC038243
158,https://www.zaubacorp.com/company/INDIAGOLD-FINANCE-PRIVATE-LIMITED/U65990DL2021PTC385759
159,https://www.zaubacorp.com/company/FIP-NIDHI-LIMITED/U65999MN2022PLN014498
160,https://www.zaubacorp.com/company/SUMCIRCLE-TECHNOLOGIES-PRIVATE-LIMITED/U74999MH2017PTC292313
161,https://www.zaubacorp.com/company/YOUTH-HUMANITY-FOUNDATION/U85300UP2020NPL137153
162,https://www.zaubacorp.com/company/NAVSHAKTI-ICE-AND-COLD-STORAGE-PRIVATE-LIMITED/U63022UP2002PTC026641
163,https://www.zaubacorp.com/company/SRI-UDAY-METAL-PRIVATE-LIMITED/U27201TG1997PTC026621
164,https://www.zaubacorp.com/company/PANCHAMUKHI-HERBAL-WELLNESS-PRODUCTS-PRIVATE-LIMITED/U52590KA2018PTC112922
165,https://www.zaubacorp.com/company/NEXEAL-GLOBAL-SERVICES-PRIVATE-LIMITED/U74999MH2019PTC323208
166,https://www.zaubacorp.com/company/NEERA-LAND-DEVELOPERS-PRIVATE-LIMITED/U70109MH2019PTC334579
167,https://www.zaubacorp.com/company/WOODESIGN-CREATORS-PRIVATE-LIMITED/U36999PB2021PTC053175
168,https://www.zaubacorp.com/company/NORTH-WEST-RESORTS-PVT-LTD/U55104RJ1982PTC002494
169,https://www.zaubacorp.com/company/MAXWIN-AGRI-PROMOTERS-INDIA-LIMITED/U01134TZ2013PLC019666
170,https://www.zaubacorp.com/company/UPMA-HIRE-PURCHASE-AND-LEASING-LIMITED/U65910UP1994PLC017331
171,https://www.zaubacorp.com/company/CDF-LABS-PRIVATE-LIMITED/U51397UP2003PTC027873
172,https://www.zaubacorp.com/company/VIDHESHVIDYA-CONSULTANTS-PRIVATE-LIMITED/U80301TG2013PTC091351
173,https://www.zaubacorp.com/company/ANTRIKSH-METALS-P-LTD/U27100MH1989PTC053919
174,https://www.zaubacorp.com/company/TRIAD-RESORTS-AND-HOTELS-PRIVATE-LIMITED/U55102KA1995PTC017903
175,https://www.zaubacorp.com/company/RELIANCE-INFRAPROJECTS-LIMITED/U51909MH2005PLC158349
176,https://www.zaubacorp.com/company/FINLEGAL-BUSINESS-SOLUTIONS-PRIVATE-LIMITED/U74999PN2021PTC200909
177,https://www.zaubacorp.com/company/SWADESHI-PHARMACY-PRIVATE-LIMITED/U74999DL2011PTC223486
178,https://www.zaubacorp.com/company/RENAISSANCE-MAN-CONSUMER-OUTLETS-LIMITED/U52190KL2007PLC020396
179,https://www.zaubacorp.com/company/SHREE-DADHIMATHI-BUILDERS-AND-MARKETING-PRIVATE-LIMITED/U45201MP2002PTC015287
180,https://www.zaubacorp.com/company/RAVEE-CONSTRUCTION-PRIVATE-LIMITED/U45201BR2018PTC037235
181,https://www.zaubacorp.com/company/THERM-SENSE-TECH-PRIVATE-LIMITED/U74999PN2022PTC207784
182,https://www.zaubacorp.com/company/WYTON-PHARMACEUTICALS-AGROTECH-PRIVATE-LIMITED/U36999UP2018PTC108201
183,https://www.zaubacorp.com/company/SOLITAIRE-HOUSE-JEWELLERY-PRIVATE-LIMITED/U74999TG2016PTC110087
184,https://www.zaubacorp.com/company/DEE-CEE-FORGE-PRIVATE-LIMITED/U28900MH1989PTC050500
185,https://www.zaubacorp.com/company/JULEP-COMMOTRADE-PRIVATE-LIMITED/U51109WB2008PTC126464
186,https://www.zaubacorp.com/company/PUROGAMI-MARKETING-PRIVATE-LIMITED/U74999KA2008PTC047572
187,https://www.zaubacorp.com/company/VTEL-HOSPITALITY-LIMITED/U17706KA2005PLC035852
188,https://www.zaubacorp.com/company/GREENFIELD-EXPORTS-PRIVATE-LIMITED/U18101TN1992PTC023337
189,https://www.zaubacorp.com/company/EMIRATES-CORPORATION-/F00961
190,https://www.zaubacorp.com/company/WHIGE-PRIVATE-LIMITED/U72900AP2020PTC116261
191,https://www.zaubacorp.com/company/OBERON-TECHNOLOGIES-PRIVATE-LIMITED/U72200WB1999PTC090349
192,https://www.zaubacorp.com/company/MEDPOINT-VENTURES-PRIVATE-LIMITED/U74900KA2015PTC079157
193,https://www.zaubacorp.com/company/MASS-MARKETTING-FINANCE-PRIVATE-LIMITE-D/U65191TN1995PTC031758
194,https://www.zaubacorp.com/company/INSTA-PLAST-PRIVATE-LIMITED/U26940MH2009PTC193752
195,https://www.zaubacorp.com/company/CHARBHUJA-COURIERS-PVT-LTD-/U21793MP1989PTC005595
196,https://www.zaubacorp.com/company/MASTER-FORMS-PRIVATE-LIMITED/U22210DL1997PTC089291
197,https://www.zaubacorp.com/company/VRUDDHI-STEEL-PRIVATE-LIMITED/U27100MH2020PTC348853
198,https://www.zaubacorp.com/company/K-SERIES-HOTEL-PVT-LTD-/U60100DL1999PTC102729
199,https://www.zaubacorp.com/company/MEMBRACON-INDIA-PRIVATE-LIMITED/U41000UP2021PTC155197
200,https://www.zaubacorp.com/company/ANNAI-EXIMS-INDIA-PRIVATE-LIMITED/U51216TN2005PTC056972
201,https://www.zaubacorp.com/company/NOUVELLE-SCHOOL-OF-INFORMATION-TECHNOLOG-Y-PRIVATE-LIMITED/U80212TG1996PTC023176
202,https://www.zaubacorp.com/company/BEST-OPTION-SALES-PRIVATE-LIMITED/U52590DL2011PTC227205
203,https://www.zaubacorp.com/company/OSDA-SECURITY-DETECTIVE-ASSOCIATES-PRIVATE-LIMITED/U74140WB1999PTC089385
204,https://www.zaubacorp.com/company/LIFENEEDS-INDUSTRIES-PRIVATE-LIMITED/U18203PN2020PTC193850
205,https://www.zaubacorp.com/company/NAIMISH-INFRASTRUCTURE-PRIVATE-LIMITED/U70102UP2010PTC042915
206,https://www.zaubacorp.com/company/V-P-K-AGRO-FOOD-PRODUCT-PRIVATE-LIMITED/U15114MH2013PTC242871
207,https://www.zaubacorp.com/company/SANPYS-PHARMACEUTICALS-PRIVATE-LIMITED-CORRECTED-/U24232RJ1997PTC014098
208,https://www.zaubacorp.com/company/ULTIMATE-ENTERTAINMENT-PRIVATE-LIMITED/U92132MH2002PTC134546
209,https://www.zaubacorp.com/company/INJAS-CHITS-PRIVATE-LIMITED/U65992TN2016PTC112116
210,https://www.zaubacorp.com/company/SREEVARI-TRANSPORT-PRIVATE-LIMITED/U63090TN1998PTC040440
211,https://www.zaubacorp.com/company/ADLER-TOURS-SAFARIS-PRIVATE-LIMITED/U63090GJ1992PTC017537
212,https://www.zaubacorp.com/company/RANSWICK-IMPEX-PRIVATE-LIMITED/U51909MH2003PTC142569
213,https://www.zaubacorp.com/company/SIVIN-HORIZON-PRIVATE-LIMITED/U72900MH2011PTC218369
214,https://www.zaubacorp.com/company/SYNCEVO-INDUSTRIES-PRIVATE-LIMITED/U31900MH2022PTC374956
215,https://www.zaubacorp.com/company/FRESICA-HOME-NEEDS-PRIVATE-LIMITED/U52399KA2013PTC068023
216,https://www.zaubacorp.com/company/SILAWAT-MEDIA-PRIVATE-LIMITED/U93000RJ2008PTC025987
217,https://www.zaubacorp.com/company/SHONKH-TECHNOLOGIES-LIMITED/U72900DL1998PLC095993
218,https://www.zaubacorp.com/company/MAU-HANDICRAFT-PRODUCER-COMPANY-LIMITED/U17299UP2020PTC137491
219,https://www.zaubacorp.com/company/MR-COMPUTERS-EDUCATION-PRIVATE-LIMITED/U80301RJ2021PTC078023
220,https://www.zaubacorp.com/company/VEER-INTEGRATED-SERVICES-PRIVATE-LIMITED/U74999MH2018PTC317084
221,https://www.zaubacorp.com/company/VAK-MERCHANDISING-PRIVATE-LIMITED/U51909DL2011PTC222827
222,https://www.zaubacorp.com/company/ARROWLINK-DEALMARK-PRIVATE-LIMITED/U52190WB2012PTC175413
223,https://www.zaubacorp.com/company/RVR-VITAL-LINKS-OUTSOURCING-PRIVATE-LIMITED/U74999DL2009PTC191031
224,https://www.zaubacorp.com/company/RATNA-SECURITIES-LIMITED/U65910MP1995PLC009270
225,https://www.zaubacorp.com/company/MVS-SOFTECH-PRIVATE-LIMITED/U30007TN1999PTC043231
226,https://www.zaubacorp.com/company/FORTFLAG-BOOKS-AND-MEDIA-PRIVATE-LIMITED/U22300PN2018PTC177108
227,https://www.zaubacorp.com/company/SHIV-SHAKTI-HATCHERY-PRIVATE-LIMITED/U01222BR2006PTC012549
228,https://www.zaubacorp.com/company/CWL-TECHNOLOGY-PRIVATE-LIMITED/U72200UP2019PTC115766
229,https://www.zaubacorp.com/company/AMBIZIOUS-BUSINESS-SOLUTIONS-OPC-PRIVATE-LIMITED/U72500GJ2019OPC109685
230,https://www.zaubacorp.com/company/DEPAYSER-INDIA-OPC-PRIVATE-LIMITED/U72900PN2018OPC175589
231,https://www.zaubacorp.com/company/TRILLIUM-PROPERTY-MANAGEMENT-PRIVATE-LIMIATED-/U70109DL2006PTC150352
232,https://www.zaubacorp.com/company/KARAIPATTY-WOMEN-FARMER-PRODUCER-COMPANY-LIMITED/U01100TN2021PTC142777
233,https://www.zaubacorp.com/company/BUROI-VALLEY-FARMER-PRODUCER-COMPANY-LIMITED/U01100AS2019PTC019536
234,https://www.zaubacorp.com/company/MM-HIGHGAIN-NETMART-PRIVATE-LIMITED/U74120UP2010PTC039805
